"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.0754716981132075","0.0","0.32515337423312884","0.0","1","5","false","Walton","24.0","0","1","0","0.9423480083857443","false","0","Walton","0","0.0"
"2.943396226415094","0.0","0.33974358974358976","0.0","1","5","false","Doran","36.0","0","1","0","0.9460167714884695","false","0","Doran","0","0.0"
"4.0","0.0","0.25","0.0","1","6","false","Shireen","5.0","0","1","0","0.9166666666666666","false","0","Shireen","0","0.0"
"2.9339622641509435","0.0","0.3408360128617363","1.0","2","5","false","Chataya","20.5","0","2","0","0.9462788259958071","false","0","Chataya","0","0.5694444444444444"
"3.0377358490566038","0.0","0.32919254658385094","0.0","1","5","false","Ramsay","25.0","0","1","0","0.9433962264150944","false","0","Ramsay","0","0.0"
"3.0283018867924527","0.0","0.3302180685358256","1.0","2","5","false","Rickard","16.5","0","2","0","0.9436582809224318","false","0","Rickard","0","0.66"
"2.8679245283018866","0.0","0.3486842105263158","1.0","3","5","false","Mace","21.666666666666668","0","3","0","0.9481132075471699","false","0","Mace","0","0.5284552845528455"
"2.9245283018867925","0.0","0.3419354838709677","1.0","2","5","false","Ellaria","21.5","0","2","0","0.9465408805031446","false","0","Ellaria","0","0.581081081081081"
"2.9056603773584904","0.0","0.34415584415584416","1.0","3","5","false","Robert Arryn","13.0","0","3","0","0.9470649895178198","false","0","Robert Arryn","0","0.4482758620689655"
"2.9056603773584904","0.0","0.34415584415584416","1.0","3","5","false","Marillion","13.0","0","3","0","0.9470649895178198","false","0","Marillion","0","0.4482758620689655"
"2.9339622641509435","0.0","0.3408360128617363","1.0","2","5","false","Olenna","17.5","0","2","0","0.9462788259958071","false","0","Olenna","0","0.6481481481481481"
"3.6226415094339623","0.0","0.2760416666666667","0.0","1","6","false","Lancel","6.0","0","1","0","0.9271488469601677","false","0","Lancel","0","0.0"
"2.8962264150943398","5.764583325230229E-4","0.34527687296416937","0.0","2","4","false","Jon Arryn","14.0","0","2","0","0.9473270440251572","false","0","Jon Arryn","66","0.5909090909090909"
"3.047169811320755","0.0","0.3281733746130031","1.0","4","5","false","Ygritte","11.75","0","4","0","0.9431341719077567","false","0","Ygritte","0","0.4519230769230769"
"2.6792452830188678","0.005898334987101543","0.3732394366197183","0.5","4","5","false","Val","15.75","0","4","0","0.9533542976939204","false","0","Val","416","0.3522727272727273"
"3.0660377358490565","0.0","0.3261538461538462","1.0","2","5","false","Styr","19.0","0","2","0","0.9426100628930817","false","0","Styr","0","0.7307692307692307"
"3.047169811320755","0.0","0.3281733746130031","1.0","4","5","false","Rattleshirt","11.75","0","4","0","0.9431341719077567","false","0","Rattleshirt","0","0.4519230769230769"
"3.018867924528302","2.635519616651692E-4","0.33125","0.8","5","5","false","Qhorin","12.2","0","5","0","0.9439203354297694","false","0","Qhorin","12","0.4357142857142857"
"3.0754716981132075","0.0","0.32515337423312884","0.0","1","5","false","Orell","26.0","0","1","0","0.9423480083857443","false","0","Orell","0","0.0"
"2.7264150943396226","0.008608668548418033","0.36678200692041524","0.6666666666666666","4","5","false","Melisandre","15.0","0","4","0","0.9520440251572327","false","0","Melisandre","368","0.38461538461538464"
"2.990566037735849","0.0","0.33438485804416407","1.0","3","5","false","Dalla","14.0","0","3","0","0.944706498951782","false","0","Dalla","0","0.5185185185185185"
"2.688679245283019","6.235971795124951E-4","0.3719298245614035","0.6666666666666666","4","5","false","Myrcella","21.25","0","4","0","0.9530922431865828","false","0","Myrcella","68","0.4722222222222222"
"2.660377358490566","0.0010973522354777933","0.375886524822695","0.5714285714285714","7","5","false","Margaery","15.285714285714286","0","7","0","0.9538784067085955","false","0","Margaery","86","0.3396825396825397"
"2.6320754716981134","0.019219915043818526","0.37992831541218636","0.4666666666666667","6","5","false","Kevan","18.333333333333332","0","6","0","0.9546645702306079","false","0","Kevan","726","0.3784722222222222"
"3.3207547169811322","0.0","0.30113636363636365","1.0","2","6","false","Bowen","10.5","0","2","0","0.9355345911949685","false","0","Bowen","0","0.6176470588235294"
"2.5283018867924527","0.02355861153253357","0.3955223880597015","0.4","6","5","false","Janos","15.666666666666666","0","6","0","0.9575471698113207","false","0","Janos","1384","0.2672413793103448"
"2.858490566037736","6.984420191967363E-4","0.3498349834983498","0.5","5","5","false","Tommen","15.0","0","5","0","0.9483752620545073","false","0","Tommen","50","0.38461538461538464"
"2.4056603773584904","0.004227926858198187","0.41568627450980394","0.5714285714285714","8","4","false","Renly","17.625","0","8","0","0.9609538784067087","false","0","Renly","364","0.3092105263157895"
"3.0754716981132075","0.0","0.32515337423312884","0.0","1","5","false","Qyburn","24.0","0","1","0","0.9423480083857443","false","0","Qyburn","0","0.0"
"3.018867924528302","0.0","0.33125","1.0","4","5","false","Gilly","14.5","0","4","0","0.9439203354297694","false","0","Gilly","0","0.5"
"3.0377358490566038","0.0","0.32919254658385094","1.0","3","5","false","Eddison","15.0","0","3","0","0.9433962264150944","false","0","Eddison","0","0.5357142857142857"
"2.169811320754717","0.019341416465723606","0.46086956521739125","0.5454545454545454","12","4","false","Eddard","17.916666666666668","0","12","0","0.9675052410901467","false","0","Eddard","1706","0.22119341563786007"
"4.0","0.0","0.25","0.0","1","6","false","Salladhor","5.0","0","1","0","0.9166666666666666","false","0","Salladhor","0","0.0"
